x i1 i2 i3 i4 i5 i6
2.14 0.000000 0.001409 0.003059 0.004750 0.006441 0.008114
2.15 0.000000 0.001409 0.003059 0.004751 0.006442 0.008115
2.16 0.000000 0.001410 0.003059 0.004751 0.006443 0.008117
2.17 0.000000 0.001410 0.003060 0.004752 0.006444 0.008118
2.18 0.000000 0.001410 0.003060 0.004753 0.006445 0.008119
2.19 0.000000 0.001410 0.003061 0.004753 0.006445 0.008120
2.20 0.000000 0.001410 0.003061 0.004754 0.006446 0.008121
2.21 0.000000 0.001410 0.003061 0.004754 0.006447 0.008122
2.22 0.000000 0.001411 0.003062 0.004755 0.006448 0.008123
2.23 0.000000 0.001411 0.003062 0.004756 0.006449 0.008124
2.24 0.000000 0.001411 0.003063 0.004756 0.006450 0.008125
2.25 0.000000 0.001411 0.003063 0.004757 0.006450 0.008126
2.26 0.000000 0.001411 0.003063 0.004758 0.006451 0.008127
2.27 0.000000 0.001412 0.003064 0.004758 0.006452 0.008128
2.28 0.000000 0.001412 0.003064 0.004759 0.006453 0.008129
2.29 0.000000 0.001412 0.003065 0.004760 0.006454 0.008131
2.30 0.000000 0.001412 0.003065 0.004760 0.006455 0.008132
2.31 0.000000 0.001412 0.003065 0.004761 0.006456 0.008133
2.32 0.000000 0.001413 0.003066 0.004761 0.006456 0.008134
2.33 0.000000 0.001413 0.003066 0.004762 0.006457 0.008135
2.34 0.000000 0.001413 0.003067 0.004763 0.006458 0.008136
2.35 0.000000 0.001413 0.003067 0.004763 0.006459 0.008137
2.36 0.000000 0.001413 0.003068 0.004764 0.006460 0.008138
2.37 0.000000 0.001413 0.003068 0.004765 0.006461 0.008139
2.38 0.000000 0.001414 0.003068 0.004765 0.006462 0.008140
2.39 0.000000 0.001414 0.003069 0.004766 0.006462 0.008141
2.40 0.000000 0.001414 0.003069 0.004766 0.006463 0.008142
2.41 0.000000 0.001414 0.003070 0.004767 0.006464 0.008143
2.42 0.000000 0.001414 0.003070 0.004768 0.006465 0.008145
2.43 0.000000 0.001415 0.003070 0.004768 0.006466 0.008146
2.44 0.000000 0.001415 0.003071 0.004769 0.006467 0.008147
2.45 0.000000 0.001415 0.003071 0.004770 0.006468 0.008148
2.46 0.000000 0.001415 0.003072 0.004770 0.006468 0.008149
2.47 0.000000 0.001415 0.003072 0.004771 0.006469 0.008150
2.48 0.000000 0.001415 0.003072 0.004771 0.006470 0.008151
2.49 0.000000 0.001416 0.003073 0.004772 0.006471 0.008152
2.50 0.000000 0.001416 0.003073 0.004773 0.006472 0.008153
2.51 0.000000 0.001416 0.003074 0.004773 0.006473 0.008154
2.52 0.000000 0.001416 0.003074 0.004774 0.006474 0.008155
2.53 0.000000 0.001416 0.003074 0.004775 0.006474 0.008156
2.54 0.000000 0.001417 0.003075 0.004775 0.006475 0.008157
2.55 0.000000 0.001417 0.003075 0.004776 0.006476 0.008158
2.56 0.000000 0.001417 0.003076 0.004777 0.006477 0.008160
2.57 0.000000 0.001417 0.003076 0.004777 0.006478 0.008161
2.58 0.000000 0.001417 0.003076 0.004778 0.006479 0.008162
2.59 0.000000 0.001418 0.003077 0.004778 0.006480 0.008163
2.60 0.000000 0.001418 0.003077 0.004779 0.006480 0.008164
2.61 0.000000 0.001418 0.003078 0.004780 0.006481 0.008165
2.62 0.000000 0.001418 0.003078 0.004780 0.006482 0.008166
2.63 0.000000 0.001418 0.003078 0.004781 0.006483 0.008167
2.64 0.000000 0.001418 0.003079 0.004782 0.006484 0.008168
2.65 0.000000 0.001419 0.003079 0.004782 0.006485 0.008169
2.66 0.000000 0.001419 0.003080 0.004783 0.006485 0.008170
2.67 0.000000 0.001419 0.003080 0.004783 0.006486 0.008171
2.68 0.000000 0.001419 0.003080 0.004784 0.006487 0.008172
2.69 0.000000 0.001419 0.003081 0.004785 0.006488 0.008174
2.70 0.000000 0.001420 0.003081 0.004785 0.006489 0.008175
2.71 0.000000 0.001420 0.003082 0.004786 0.006490 0.008176
2.72 0.000000 0.001420 0.003082 0.004787 0.006491 0.008177
2.73 0.000000 0.001420 0.003083 0.004787 0.006491 0.008178
2.74 0.000000 0.001420 0.003083 0.004788 0.006492 0.008179
2.75 0.000000 0.001421 0.003083 0.004788 0.006493 0.008180
2.76 0.000000 0.001421 0.003084 0.004789 0.006494 0.008181
2.77 0.000000 0.001421 0.003084 0.004790 0.006495 0.008182
2.78 0.000000 0.001421 0.003085 0.004790 0.006496 0.008183
2.79 0.000000 0.001421 0.003085 0.004791 0.006497 0.008184
2.80 0.000000 0.001421 0.003085 0.004792 0.006497 0.008185
2.81 0.000000 0.001422 0.003086 0.004792 0.006498 0.008186
2.82 0.000000 0.001422 0.003086 0.004793 0.006499 0.008188
2.83 0.000000 0.001422 0.003087 0.004794 0.006500 0.008189
2.84 0.000000 0.001422 0.003087 0.004794 0.006501 0.008190
2.85 0.000000 0.001422 0.003087 0.004795 0.006502 0.008191
2.86 0.000000 0.001423 0.003088 0.004795 0.006503 0.008192
2.87 0.000000 0.001423 0.003088 0.004796 0.006503 0.008193
2.88 0.000000 0.001423 0.003089 0.004797 0.006504 0.008194
2.89 0.000000 0.001423 0.003089 0.004797 0.006505 0.008195
2.90 0.000000 0.001423 0.003089 0.004798 0.006506 0.008196
2.91 0.000000 0.001424 0.003090 0.004799 0.006507 0.008197
2.92 0.000000 0.001424 0.003090 0.004799 0.006508 0.008198
2.93 0.000000 0.001424 0.003091 0.004800 0.006509 0.008199
2.94 0.000000 0.001424 0.003091 0.004800 0.006509 0.008200
2.95 0.000000 0.001424 0.003091 0.004801 0.006510 0.008202
2.96 0.000000 0.001424 0.003092 0.004802 0.006511 0.008203
2.97 0.000000 0.001425 0.003092 0.004802 0.006512 0.008204
2.98 0.000000 0.001425 0.003093 0.004803 0.006513 0.008205
2.99 0.000000 0.001425 0.003093 0.004804 0.006514 0.008206
3.00 0.000000 0.001425 0.003093 0.004804 0.006515 0.008207
3.01 0.000000 0.001425 0.003094 0.004805 0.006515 0.008208
3.02 0.000000 0.001426 0.003094 0.004805 0.006516 0.008209
3.03 0.000000 0.001426 0.003095 0.004806 0.006517 0.008210
3.04 0.000000 0.001426 0.003095 0.004807 0.006518 0.008211
3.05 0.000000 0.001426 0.003095 0.004807 0.006519 0.008212
3.06 0.000000 0.001426 0.003096 0.004808 0.006520 0.008213
3.07 0.000000 0.001427 0.003096 0.004809 0.006520 0.008214
3.08 0.000000 0.001427 0.003097 0.004809 0.006521 0.008215
3.09 0.000000 0.001427 0.003097 0.004810 0.006522 0.008217
3.10 0.000000 0.001427 0.003098 0.004811 0.006523 0.008218
3.11 0.000000 0.001427 0.003098 0.004811 0.006524 0.008219
3.12 0.000000 0.001427 0.003098 0.004812 0.006525 0.008220
3.13 0.000000 0.001428 0.003099 0.004812 0.006526 0.008221
3.14 0.000000 0.001428 0.003099 0.004813 0.006526 0.008222
3.15 0.000000 0.001428 0.003100 0.004814 0.006527 0.008223
3.16 0.000000 0.001428 0.003100 0.004814 0.006528 0.008224
3.17 0.000000 0.001428 0.003100 0.004815 0.006529 0.008225
3.18 0.000000 0.001429 0.003101 0.004816 0.006530 0.008226
3.19 0.000000 0.001429 0.003101 0.004816 0.006531 0.008227
3.20 0.000000 0.001429 0.003102 0.004817 0.006532 0.008228
3.21 0.000000 0.001429 0.003102 0.004817 0.006532 0.008229
3.22 0.000000 0.001429 0.003102 0.004818 0.006533 0.008231
3.23 0.000000 0.001429 0.003103 0.004819 0.006534 0.008232
3.24 0.000000 0.001430 0.003103 0.004819 0.006535 0.008233
3.25 0.000000 0.001430 0.003104 0.004820 0.006536 0.008234
3.26 0.000000 0.001430 0.003104 0.004821 0.006537 0.008235
