x i1 i2 i3 i4 i5 i6 i7 i8
1.080000 0.000000 0.000095 0.000216 0.000347 0.000485 0.000628 0.000775 0.000925
1.090000 0.000000 0.000095 0.000216 0.000347 0.000485 0.000628 0.000775 0.000925
1.100000 0.000000 0.000095 0.000216 0.000347 0.000485 0.000628 0.000775 0.000925
1.110000 0.000000 0.000095 0.000216 0.000347 0.000485 0.000628 0.000775 0.000925
1.120000 0.000000 0.000095 0.000216 0.000347 0.000485 0.000628 0.000775 0.000925
1.130000 0.000000 0.000095 0.000216 0.000347 0.000485 0.000628 0.000775 0.000926
1.140000 0.000000 0.000095 0.000216 0.000347 0.000485 0.000628 0.000775 0.000926
1.150000 0.000000 0.000095 0.000216 0.000347 0.000485 0.000628 0.000776 0.000926
1.160000 0.000000 0.000095 0.000216 0.000347 0.000485 0.000629 0.000776 0.000926
1.170000 0.000000 0.000095 0.000216 0.000347 0.000485 0.000629 0.000776 0.000926
1.180000 0.000000 0.000095 0.000216 0.000347 0.000485 0.000629 0.000776 0.000926
1.190000 0.000000 0.000095 0.000216 0.000347 0.000485 0.000629 0.000776 0.000926
1.200000 0.000000 0.000095 0.000216 0.000347 0.000486 0.000629 0.000776 0.000926
1.210000 0.000000 0.000095 0.000216 0.000347 0.000486 0.000629 0.000776 0.000927
1.220000 0.000000 0.000095 0.000216 0.000347 0.000486 0.000629 0.000776 0.000927
1.230000 0.000000 0.000095 0.000216 0.000347 0.000486 0.000629 0.000776 0.000927
1.240000 0.000000 0.000095 0.000216 0.000347 0.000486 0.000629 0.000777 0.000927
1.250000 0.000000 0.000095 0.000216 0.000347 0.000486 0.000629 0.000777 0.000927
1.260000 0.000000 0.000095 0.000216 0.000348 0.000486 0.000629 0.000777 0.000927
1.270000 0.000000 0.000095 0.000216 0.000348 0.000486 0.000629 0.000777 0.000927
1.280000 0.000000 0.000095 0.000216 0.000348 0.000486 0.000630 0.000777 0.000927
1.290000 0.000000 0.000095 0.000216 0.000348 0.000486 0.000630 0.000777 0.000928
1.300000 0.000000 0.000095 0.000216 0.000348 0.000486 0.000630 0.000777 0.000928
1.310000 0.000000 0.000095 0.000216 0.000348 0.000486 0.000630 0.000777 0.000928
1.320000 0.000000 0.000095 0.000216 0.000348 0.000486 0.000630 0.000777 0.000928
1.330000 0.000000 0.000095 0.000216 0.000348 0.000486 0.000630 0.000777 0.000928
1.340000 0.000000 0.000095 0.000216 0.000348 0.000486 0.000630 0.000778 0.000928
1.350000 0.000000 0.000095 0.000216 0.000348 0.000487 0.000630 0.000778 0.000928
1.360000 0.000000 0.000095 0.000216 0.000348 0.000487 0.000630 0.000778 0.000928
1.370000 0.000000 0.000095 0.000216 0.000348 0.000487 0.000630 0.000778 0.000929
1.380000 0.000000 0.000095 0.000216 0.000348 0.000487 0.000630 0.000778 0.000929
1.390000 0.000000 0.000095 0.000216 0.000348 0.000487 0.000630 0.000778 0.000929
