time	V(out)	V(n001)
1.768290109743962e-03	-1.305466e+01	3.475994e-01
1.773172922243962e-03	-1.305471e+01	1.976687e-01
1.778055734743962e-03	-1.305476e+01	4.966157e-02
1.782938547243962e-03	-1.305481e+01	-9.644672e-02
1.787821359743962e-03	-1.305486e+01	-2.406805e-01
1.797586984743962e-03	-1.305495e+01	-5.236205e-01
1.807352609743961e-03	-1.305504e+01	-7.993472e-01
1.822001047243961e-03	-1.305518e+01	-1.199813e+00
1.843624931172532e-03	-1.305574e+01	-1.759365e+00
1.865248815101103e-03	-1.305599e+01	-2.291655e+00
1.886872699029674e-03	-1.305592e+01	-2.796684e+00
1.908496582958245e-03	-1.305555e+01	-3.274453e+00
1.930120466886816e-03	-1.305486e+01	-3.724960e+00
1.951744350815387e-03	-1.305385e+01	-4.148207e+00
1.973368234743958e-03	-1.305254e+01	-4.544192e+00
1.983831404386815e-03	-1.305198e+01	-4.729261e+00
1.994294574029672e-03	-1.304967e+01	-4.909483e+00
2.004757743672529e-03	-1.304561e+01	-5.084859e+00
2.015220913315385e-03	-1.303979e+01	-5.255390e+00
2.025684082958243e-03	-1.303222e+01	-5.421074e+00
2.036147252601099e-03	-1.302291e+01	-5.581912e+00
2.046610422243956e-03	-1.301184e+01	-5.737905e+00
2.051493234743956e-03	-1.300459e+01	-5.809221e+00
2.056376047243956e-03	-1.300021e+01	-5.879755e+00
2.058207101931456e-03	-1.299348e+01	-5.905878e+00
2.059543882687690e-03	-1.299010e+01	-5.924846e+00
2.061055165681478e-03	-1.298456e+01	-5.946169e+00
2.064077731669054e-03	-1.296599e+01	-5.988604e+00
2.064154025614367e-03	-1.296178e+01	-5.989670e+00
2.064156409800158e-03	-1.296149e+01	-5.989704e+00
2.064161178171740e-03	-1.296057e+01	-5.989770e+00
2.064170714914904e-03	-1.295579e+01	-5.989902e+00
2.064189788401232e-03	-1.293252e+01	-5.990167e+00
2.064202896320401e-03	-1.289482e+01	-5.990348e+00
2.064213833891051e-03	-1.282547e+01	-5.990498e+00
2.064224707844222e-03	-1.268091e+01	-5.990643e+00
2.064236428911124e-03	-1.236357e+01	-5.990792e+00
2.064247695699824e-03	-1.175059e+01	-5.990922e+00
2.064259641237732e-03	-1.055198e+01	-5.991031e+00
2.064272034687762e-03	-8.584515e+00	-5.991088e+00
2.064287809037972e-03	-5.356376e+00	-5.991059e+00
2.064303874466272e-03	-1.782623e+00	-5.990909e+00
2.064317913732253e-03	1.382684e+00	-5.990664e+00
2.064332921154548e-03	4.820325e+00	-5.990272e+00
2.064336674673685e-03	5.679816e+00	-5.990172e+00
2.064340428192821e-03	6.546913e+00	-5.990062e+00
2.064344181711958e-03	7.421616e+00	-5.989942e+00
2.064347935231095e-03	8.303926e+00	-5.989812e+00
2.064351688750231e-03	9.193842e+00	-5.989672e+00
2.064355442269368e-03	1.009136e+01	-5.989522e+00
2.064359195788504e-03	1.099649e+01	-5.989361e+00
2.064364543248572e-03	1.221954e+01	-5.989120e+00
2.064368072435434e-03	1.281226e+01	-5.988956e+00
2.064371676816973e-03	1.305528e+01	-5.988785e+00
2.064375405359910e-03	1.306655e+01	-5.988608e+00
2.064378750420771e-03	1.304972e+01	-5.988451e+00
2.064382264573136e-03	1.305119e+01	-5.988287e+00
2.064389292877868e-03	1.305213e+01	-5.987962e+00
2.064399147360694e-03	1.305206e+01	-5.987507e+00
2.064414725728724e-03	1.305240e+01	-5.986792e+00
2.064440338677238e-03	1.305239e+01	-5.985618e+00
2.064473062389166e-03	1.305245e+01	-5.984119e+00
2.082682756423316e-03	1.305271e+01	-5.174180e+00
2.100892450457466e-03	1.305297e+01	-4.398202e+00
2.119102144491616e-03	1.305321e+01	-3.656185e+00
2.137311838525766e-03	1.305345e+01	-2.948127e+00
2.155521532559916e-03	1.305368e+01	-2.274031e+00
2.173731226594065e-03	1.305389e+01	-1.633894e+00
2.191940920628215e-03	1.305410e+01	-1.027719e+00
2.201706545628215e-03	1.305421e+01	-7.124490e-01
2.211472170628215e-03	1.305431e+01	-4.052168e-01
2.216354983128215e-03	1.305437e+01	-2.545505e-01
2.221237795628215e-03	1.305441e+01	-1.058172e-01
2.226120608128215e-03	1.305446e+01	4.100788e-02
2.231003420628215e-03	1.305451e+01	1.859493e-01
2.235886233128215e-03	1.305456e+01	3.290312e-01
2.245651858128214e-03	1.305466e+01	6.097116e-01
2.260300295628214e-03	1.305479e+01	1.017372e+00
2.274948733128214e-03	1.305492e+01	1.409543e+00
2.295875072413927e-03	1.305551e+01	1.940541e+00
2.316801411699641e-03	1.305574e+01	2.446377e+00
2.337727750985355e-03	1.305563e+01	2.927053e+00
2.358654090271069e-03	1.305518e+01	3.382567e+00
2.379580429556783e-03	1.305438e+01	3.812921e+00
2.400506768842497e-03	1.305324e+01	4.218114e+00
2.421433108128211e-03	1.305174e+01	4.598145e+00
2.431896277771068e-03	1.305086e+01	4.781723e+00
2.442359447413924e-03	1.304823e+01	4.960485e+00
2.452822617056781e-03	1.304386e+01	5.134431e+00
2.463285786699638e-03	1.303773e+01	5.303562e+00
2.473748956342495e-03	1.302986e+01	5.467877e+00
2.484212125985352e-03	1.302024e+01	5.627376e+00
2.494675295628209e-03	1.300888e+01	5.782060e+00
2.499558108128209e-03	1.300053e+01	5.852770e+00
2.504440920628209e-03	1.299019e+01	5.922689e+00
2.505051272190709e-03	1.298868e+01	5.931352e+00
2.506271975315709e-03	1.298458e+01	5.948555e+00
2.508713381565709e-03	1.297314e+01	5.982835e+00
2.509054968711780e-03	1.297053e+01	5.987613e+00
2.509129902128605e-03	1.296936e+01	5.988658e+00
2.509229813351039e-03	1.296724e+01	5.990052e+00
2.509239070118045e-03	1.296696e+01	5.990180e+00
2.509262212035561e-03	1.296603e+01	5.990503e+00
2.509271468802568e-03	1.296528e+01	5.990632e+00
2.509289982336581e-03	1.296274e+01	5.990890e+00
2.509294610720084e-03	1.296146e+01	5.990954e+00
2.509303867487090e-03	1.295577e+01	5.991083e+00
2.509318900312039e-03	1.293662e+01	5.991292e+00
2.509330440501807e-03	1.290543e+01	5.991451e+00
2.509340764185655e-03	1.284813e+01	5.991593e+00
2.509351183671782e-03	1.273029e+01	5.991733e+00
2.509362851081261e-03	1.246491e+01	5.991884e+00
2.509373957126787e-03	1.195376e+01	5.992016e+00
2.509385836326822e-03	1.092041e+01	5.992133e+00
2.509397861152040e-03	9.191058e+00	5.992206e+00
2.509412428878444e-03	6.347267e+00	5.992209e+00
2.509427599180111e-03	3.006832e+00	5.992099e+00
2.509444022094679e-03	-6.929898e-01	5.991848e+00
2.509459111539364e-03	-4.130934e+00	5.991488e+00
2.509477493431137e-03	-8.339023e+00	5.990881e+00
2.509496985936628e-03	-1.270608e+01	5.990102e+00
2.509497430781308e-03	-1.279359e+01	5.990082e+00
2.509498320470668e-03	-1.291762e+01	5.990040e+00
2.509500099849389e-03	-1.303900e+01	5.989954e+00
2.509502778083103e-03	-1.307295e+01	5.989827e+00
2.509505268411088e-03	-1.306083e+01	5.989710e+00
2.509508134334281e-03	-1.305343e+01	5.989575e+00
2.509513866180668e-03	-1.305204e+01	5.989308e+00
2.509521350796123e-03	-1.305198e+01	5.988962e+00
2.509536320027032e-03	-1.305230e+01	5.988273e+00
2.509558193909889e-03	-1.305241e+01	5.987270e+00
2.509585983531183e-03	-1.305244e+01	5.985996e+00
2.527559974653087e-03	-1.305271e+01	5.186110e+00
2.545533965774990e-03	-1.305297e+01	4.419384e+00
2.563507956896894e-03	-1.305322e+01	3.685816e+00
2.581481948018797e-03	-1.305346e+01	2.985407e+00
2.599455939140701e-03	-1.305368e+01	2.318157e+00
2.617429930262605e-03	-1.305390e+01	1.684066e+00
2.635403921384508e-03	-1.305410e+01	1.083134e+00
2.645169546384508e-03	-1.305421e+01	7.664515e-01
2.654935171384508e-03	-1.305431e+01	4.578422e-01
2.659817983884508e-03	-1.305437e+01	3.065006e-01
2.664700796384508e-03	-1.305442e+01	1.571006e-01
2.669583608884508e-03	-1.305447e+01	9.617394e-03
2.674466421384507e-03	-1.305451e+01	-1.359737e-01
2.679349233884507e-03	-1.305456e+01	-2.796970e-01
2.689114858884507e-03	-1.305466e+01	-5.616356e-01
2.698880483884507e-03	-1.305475e+01	-8.363862e-01
2.713528921384507e-03	-1.305488e+01	-1.235435e+00
2.735152805313078e-03	-1.305547e+01	-1.793007e+00
2.756776689241648e-03	-1.305572e+01	-2.323414e+00
2.778400573170220e-03	-1.305564e+01	-2.826655e+00
2.800024457098791e-03	-1.305523e+01	-3.302730e+00
2.821648341027362e-03	-1.305449e+01	-3.751640e+00
2.843272224955932e-03	-1.305342e+01	-4.173385e+00
2.864896108884503e-03	-1.305202e+01	-4.567964e+00
2.875359278527361e-03	-1.305122e+01	-4.752368e+00
2.885822448170217e-03	-1.304874e+01	-4.931942e+00
2.896285617813074e-03	-1.304457e+01	-5.106685e+00
2.906748787455931e-03	-1.303872e+01	-5.276597e+00
2.917211957098788e-03	-1.303119e+01	-5.441678e+00
2.927675126741645e-03	-1.302197e+01	-5.601928e+00
2.938138296384502e-03	-1.301106e+01	-5.757347e+00
2.947903921384502e-03	-1.299366e+01	-5.898449e+00
2.952786733884502e-03	-1.298219e+01	-5.967720e+00
2.953702898600942e-03	-1.297499e+01	-5.980564e+00
2.954121263506842e-03	-1.297134e+01	-5.986408e+00
2.954367799969248e-03	-1.296769e+01	-5.989848e+00
2.954382741573031e-03	-1.296726e+01	-5.990056e+00
2.954412624780595e-03	-1.296612e+01	-5.990473e+00
2.954420095582486e-03	-1.296570e+01	-5.990577e+00
2.954435037186268e-03	-1.296422e+01	-5.990785e+00
2.954447816715446e-03	-1.296099e+01	-5.990963e+00
2.954463193529399e-03	-1.295144e+01	-5.991177e+00
2.954474906375073e-03	-1.293504e+01	-5.991339e+00
2.954485572587742e-03	-1.290441e+01	-5.991487e+00
2.954495425415381e-03	-1.284903e+01	-5.991621e+00
2.954505727330813e-03	-1.273339e+01	-5.991760e+00
2.954517262453130e-03	-1.247490e+01	-5.991910e+00
2.954528367202800e-03	-1.197292e+01	-5.992043e+00
2.954540195681379e-03	-1.096079e+01	-5.992160e+00
2.954552206495815e-03	-9.254021e+00	-5.992234e+00
2.954566639023571e-03	-6.454444e+00	-5.992240e+00
