time	IC1
2.592009642992991e-02	-2.659528e-03
2.595357857278706e-02	-2.657983e-03
2.598706071564420e-02	-2.655262e-03
2.602054285850135e-02	-2.651365e-03
2.605402500135849e-02	-2.646291e-03
2.613773035850135e-02	-2.628246e-03
2.622143571564421e-02	-2.603164e-03
2.630514107278707e-02	-2.571044e-03
2.638884642992993e-02	-2.531887e-03
2.647255178707279e-02	-2.485693e-03
2.655625714421565e-02	-2.432462e-03
2.663996250135851e-02	-2.372193e-03
2.677807634064423e-02	-2.256085e-03
2.691619017992995e-02	-2.125766e-03
2.705430401921567e-02	-1.981236e-03
2.719241785850139e-02	-1.822495e-03
2.733053169778711e-02	-1.649543e-03
2.746864553707283e-02	-1.462381e-03
2.760675937635855e-02	-1.261008e-03
2.769465000135855e-02	-1.128759e-03
2.778254062635856e-02	-9.941164e-04
2.787043125135856e-02	-8.570805e-04
2.795832187635856e-02	-7.176511e-04
2.804621250135857e-02	-5.758281e-04
2.813410312635857e-02	-4.316116e-04
2.822199375135857e-02	-2.850015e-04
2.839777500135858e-02	8.229331e-06
2.844381294778715e-02	8.531709e-05
2.848985089421573e-02	1.621733e-04
2.853588884064430e-02	2.387979e-04
2.858192678707287e-02	3.151909e-04
2.862796473350145e-02	3.913524e-04
2.867400267993002e-02	4.672823e-04
2.872004062635859e-02	5.429806e-04
2.882467232278717e-02	7.146002e-04
2.892930401921574e-02	8.813926e-04
2.903393571564432e-02	1.043358e-03
2.913856741207289e-02	1.200496e-03
2.924319910850147e-02	1.352806e-03
2.934783080493004e-02	1.500290e-03
2.945246250135862e-02	1.642946e-03
2.948175937635862e-02	1.681172e-03
2.954453839421577e-02	1.761433e-03
2.960731741207291e-02	1.838667e-03
2.967009642993006e-02	1.912875e-03
2.973287544778720e-02	1.984056e-03
2.979565446564435e-02	2.052210e-03
2.985843348350149e-02	2.117337e-03
2.992121250135864e-02	2.179437e-03
2.997980625135864e-02	2.234145e-03
3.000000000000000e-02	2.252413e-03
